descripcion,valor,categoria_final,pais,moneda
pago en sodimac,387764,vivienda,CL,CLP
almacen de barrio,38271,alimentacion,CL,CLP
viaje en shell,38351,transporte,CL,CLP
pedido en rappi,43242,alimentacion,CL,CLP
pago en construmart,294641,vivienda,CL,CLP
compra en clinica indisa,75701,salud,CL,CLP
wom,35753,servicios,CL,CLP
pago en construmart,311700,vivienda,CL,CLP
viaje en ypf,28617,transporte,AR,ARS
pedido en jumbo,56823,alimentacion,AR,ARS
carniceria,71858,alimentacion,AR,ARS
pago platzi,351272,educacion,AR,ARS
cuota jardin infantil,89945,educacion,CL,CLP
veterinaria,37841,otros,AR,ARS
barugel azulay,669348,vivienda,AR,ARS
inacap,106790,educacion,CL,CLP
inscripcion en duoc uc,250479,educacion,CL,CLP
coursera,270568,educacion,AR,ARS
transferencia a familiar,58825,otros,AR,ARS
restaurante,50413,alimentacion,AR,ARS
peluqueria,60400,otros,AR,ARS
restaurante,76982,alimentacion,AR,ARS
pacific gym,47839,otros,CL,CLP
plan de internet hogar,57707,servicios,AR,ARS
subte,44801,transporte,AR,ARS
salida a un bar,23464,ocio,AR,ARS
farmacia del pueblo,57990,salud,AR,ARS
entrada a concierto,46808,ocio,CL,CLP
feria lo valledor,8286,alimentacion,CL,CLP
plan de internet hogar,75237,servicios,CL,CLP
consulta en redsalud,47176,salud,CL,CLP
compra en makro,15850,alimentacion,AR,ARS
compra en hbo max,66541,ocio,AR,ARS
santa isabel,40741,alimentacion,CL,CLP
metro de santiago,22681,transporte,CL,CLP
jardin de infantes,125831,educacion,AR,ARS
burger king,20055,alimentacion,AR,ARS
beat,36081,transporte,CL,CLP
cuenta de gas abastible,43850,servicios,CL,CLP
fonasa,14869,salud,CL,CLP
carga nafta en cabify,38870,transporte,AR,ARS
alquiler casa,767896,vivienda,AR,ARS
pago factura metrogas,66616,servicios,AR,ARS
pedido en telepizza,35294,alimentacion,CL,CLP
entrada hbo max,13911,ocio,AR,ARS
consulta en integramedica,24887,salud,CL,CLP
makro,28365,alimentacion,AR,ARS
consulta en farmacia del pueblo,24172,salud,AR,ARS
veterinaria,27607,otros,CL,CLP
netflix,42339,ocio,AR,ARS
cuenta de gas metrogas,59104,servicios,CL,CLP
pago mensualidad sportlife,40593,otros,CL,CLP
inscripcion en platzi,87650,educacion,CL,CLP
coursera,163946,educacion,CL,CLP
farmacity,40863,salud,AR,ARS
suscripcion a disney plus,44736,ocio,AR,ARS
plan de internet hogar,74594,servicios,AR,ARS
pago en ypf,30292,transporte,AR,ARS
cuenta de gas lipigas,52483,servicios,CL,CLP
platzi,246650,educacion,AR,ARS
osde,12535,salud,AR,ARS
dividendo hipotecario,374978,vivienda,CL,CLP
compra en construmart,371740,vivienda,CL,CLP
pedido en jumbo,19628,alimentacion,CL,CLP
pago factura aysa,112423,servicios,AR,ARS
entrada hbo max,53906,ocio,AR,ARS
sodimac,425820,vivienda,CL,CLP
salida fin de semana,40172,ocio,CL,CLP
pago en redsalud,63028,salud,CL,CLP
turbus,10953,transporte,CL,CLP
compra en megatlon,32834,otros,AR,ARS
sportclub,33831,otros,AR,ARS
alquiler departamento,675075,vivienda,AR,ARS
compra en pacific gym,13558,otros,CL,CLP
almuerzo,26625,alimentacion,AR,ARS
entrada disney plus,64863,ocio,AR,ARS
cruz verde,81931,salud,CL,CLP
netflix,58857,ocio,AR,ARS
pago en didi,4776,transporte,CL,CLP
pago en ypf,58907,transporte,AR,ARS
peluqueria,38816,otros,CL,CLP
curso de ingles,262053,educacion,CL,CLP
examen de laboratorio,15175,salud,AR,ARS
sesion kinesiologo,47247,salud,CL,CLP
cuota colegio,383424,educacion,AR,ARS
multa,43139,otros,CL,CLP
consulta en farmacia del pueblo,36907,salud,AR,ARS
compra en cine hoyts,20230,ocio,AR,ARS
suscripcion a netflix,13990,ocio,AR,ARS
examen laboratorio,68956,salud,CL,CLP
compra en barugel azulay,662814,vivienda,AR,ARS
cine hoyts,36506,ocio,AR,ARS
cabify,33129,transporte,CL,CLP
gasto imprevisto,59379,otros,AR,ARS
sportclub,47634,otros,AR,ARS
inscripcion en coursera,217509,educacion,CL,CLP
disney plus,15350,ocio,CL,CLP
utiles escolares,325262,educacion,AR,ARS
donacion,6093,otros,CL,CLP
hbo max,59181,ocio,AR,ARS
medife,46009,salud,AR,ARS
examen de laboratorio,103977,salud,AR,ARS
suscripcion a hbo max,10752,ocio,AR,ARS
inscripcion en duoc uc,100842,educacion,CL,CLP
compra en sportlife,9653,otros,CL,CLP
permiso de circulacion,27928,transporte,CL,CLP
pago en vea,28644,alimentacion,AR,ARS
compra en easy,482237,vivienda,AR,ARS
compra en sodimac,359951,vivienda,CL,CLP
platzi,69860,educacion,AR,ARS
compra en amazon prime video,42544,ocio,CL,CLP
plan de internet hogar,93308,servicios,AR,ARS
disney plus,31017,ocio,CL,CLP
taller mecanico,49882,transporte,AR,ARS
suscripcion a disney plus,26094,ocio,AR,ARS
pago en axion,54298,transporte,AR,ARS
swiss medical,138882,salud,AR,ARS
inscripcion en coursera,150466,educacion,AR,ARS
multa,15901,otros,CL,CLP
didi,30627,transporte,CL,CLP
peluqueria,65838,otros,AR,ARS
cuota universidad privada,317605,educacion,AR,ARS
compra en sportlife,28476,otros,CL,CLP
clinica indisa,71616,salud,CL,CLP
